ID,Name,Location,Community,Function,Roof Type,Storeys,Building Height,Ground Surface Area
DEBY_LOD2_4958733,DEBYvAAAAABTMk3X,1000,09162000,31001_9998,3100,6,22.86,198.676
DEBY_LOD2_4958734,DEBYvAAAAABTMk4F,1000,09162000,31001_9998,3200,4,15.722,503.897
DEBY_LOD2_4958735,DEBYvAAAAABTMk19,1000,09162000,31001_9998,3100,7,24.727,320.385
DEBY_LOD2_4958739,DEBYvAAAAABTMlAr,1000,09162000,31001_1000,3100,4,23.502,425.704
DEBY_LOD2_4958740,DEBYvAAAAABSfp6R,1000,09162000,31001_9998,1000,1,21.923,423.005
DEBY_LOD2_4958741,DEBYvAAAAABSfp6O,1000,09162000,31001_9998,3100,4,25.011,1018.213
DEBY_LOD2_4958742,DEBYvAAAAABSfp6r,1000,09162000,31001_9998,2100,4,25.551,556.159
DEBY_LOD2_4958743,DEBYvAAAAABSfp6l,1000,09162000,31001_9998,1000,1,19.322,194.870
DEBY_LOD2_4958744,DEBYvAAAAABSfp7r,1000,09162000,31001_9998,2100,4,26.311,618.524
DEBY_LOD2_4958745,DEBYvAAAAABTMj6o,1000,09162000,31001_1000,1000,4,14.906,230.375
DEBY_LOD2_4958746,DEBYvAAAAABTMj4g,1000,09162000,31001_1000,1000,4,15.411,219.186
DEBY_LOD2_4958750,DEBYvAAAAABSfp6H,1000,09162000,31001_9998,2100,5,27.74,343.558
DEBY_LOD2_4958751,DEBYvAAAAABSfp3t,1000,09162000,31001_9998,1000,,22.37,91.875
DEBY_LOD2_4958752,DEBYvAAAAABSfp48,1000,09162000,31001_1000,1000,7,28.927,1715.674
DEBY_LOD2_4958755,DEBYvAAAAABSfpwV,1000,09162000,31001_9998,1000,5,25.536,336.602
DEBY_LOD2_4958756,DEBYvAAAAABSfpwP,1000,09162000,31001_1000,3100,4,22.483,215.760
DEBY_LOD2_4958757,DEBYvAAAAABSfpyb,1000,09162000,31001_1000,2100,3,14.88,184.817
DEBY_LOD2_4958758,DEBYvAAAAABSfpzf,1000,09162000,31001_9998,3100,4,20.926,167.254
DEBY_LOD2_4958759,DEBYvAAAAABSfprR,1000,09162000,31001_9998,3100,3,15.328,180.618
DEBY_LOD2_4958760,DEBYvAAAAABSfpzQ,1000,09162000,31001_1000,2100,6,22.77,214.146
DEBY_LOD2_4958761,DEBYvAAAAABSfpqn,1000,09162000,31001_1000,3100,3,13.324,208.205
DEBY_LOD2_4958762,DEBYvAAAAABSfppd,1000,09162000,31001_1000,3100,5,22.87,164.553
DEBY_LOD2_4958763,DEBYvAAAAABSfppt,1000,09162000,31001_1000,1000,4,19.944,170.828
DEBY_LOD2_4958764,DEBYvAAAAABSfpuC,1000,09162000,31001_1000,1000,3,19.694,179.733
DEBY_LOD2_4958765,DEBYvAAAAABSfpud,1000,09162000,31001_1000,3100,5,22.765,215.173
DEBY_LOD2_4958766,DEBYvAAAAABSfpsr,1000,09162000,31001_1000,3100,5,22.758,157.903
